Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gem. slagen,[],Gemiddeld tempo,Beste tempo,Stijging,Hoogteverlies,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. GCT balans,Gem. slagen,[],Normalized Power® (NP®),L/R-balans,Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Vermogen,Max. vermogen,Totaal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Max diepte,Bodemtijd,Minimale watertemperatuur,Gastype,Oppervlakte-interval,Decompressie,Gewicht,Stroming,Oppervlakteomstandigheden,Watertype
open_water_swimming,2018-08-21 20:06:36,false,"Maasdriel Zwemmen in open water","1,276","227","32:11","--","--","0.0","--","--","2:31","0:41","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","927","56","29","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-08-21 17:19:23,false,"'s-Hertogenbosch Fietsen","16.72","556","38:00","121","144","2.8","--","--","26.4","53.4","2","7","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-08-21 07:41:29,false,"Zaltbommel Fietsen","16.74","566","37:07","124","141","2.5","--","--","27.1","38.0","10","7","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-08-19 11:45:17,false,"Zaltbommel Hardlopen","12.21","760","55:53","148","164","4.8","177","191","4:35","4:08","15","13","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
open_water_swimming,2018-08-18 16:15:45,false,"Maasdriel Zwemmen in open water","1,245","225","34:40","--","--","0.0","--","--","2:47","0:39","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","1058","63","30","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
open_water_swimming,2018-08-15 19:07:00,false,"Maasdriel Zwemmen in open water","1,273","232","34:10","--","--","0.0","--","--","2:41","0:33","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","1056","61","31","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-08-14 17:30:01,false,"'s-Hertogenbosch Fietsen","16.76","531","38:36","117","136","2.4","--","--","26.1","34.6","4","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-08-14 07:35:13,false,"Zaltbommel Fietsen","16.79","568","35:42","127","140","2.7","--","--","28.2","38.2","7","5","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-08-12 08:05:55,false,"Zaltbommel Hardlopen","15.75","995","1:08:38","155","185","5.0","182","193","4:21","3:57","18","15","1.26","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
open_water_swimming,2018-08-11 15:53:55,false,"Maasdriel Zwemmen in open water","1,100","201","29:49","--","--","0.0","--","--","2:43","0:42","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","910","61","30","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
